name,address,city,state,zip,lat,lng
Oklahoma City East KOA Holiday,6200 South Choctaw Road,Choctaw,Oklahoma,73020,35.45881,-97.262802
Sallisaw / Fort Smith West KOA Holiday,1900 KOA Power Drive,Sallisaw,Oklahoma,74955,35.496424,-94.748101
Elk City / Clinton KOA Journey,21167 RT. 66 N,Foss,Oklahoma,73647,35.435506,-99.159954
El Reno West KOA Journey,Call for directions,Calumet,Oklahoma,73014,35.587533,-98.145189
Durant / Choctaw Casino KOA,3650 Enterprise Blvd,Durant,Oklahoma,74701,34.006822,-96.378921
Checotah / Lake Eufaula West KOA Holiday,409329 E 1078 Rd,Checotah,Oklahoma,74426,35.451697,-95.530308
Pasco / Tri-Cities KOA Journey,8801 Saint Thomas Drive,Pasco,Washington,99301,46.379233,-118.953781
Spokane KOA Journey,3025 N Barker Rd,Spokane Valley,Washington,99027,47.710128,-117.12756
Olympic Peninsula / Port Angeles KOA Journey,80 O'Brien Road,Port Angeles,Washington,98362,47.930621,-123.365101
Newport / Little Diamond Lake KOA Holiday,1002 McGowen Road,Newport,Washington,99156,48.185851,-117.196814
Lynden / Bellingham KOA Journey,8717 Line Road,Lynden,Washington,98264,48.950253,-122.459792
Longview North / Mount St Helens KOA Journey,167 Schaffran Rd,Castle Rock,Washington,98611,46.305133,-122.900688
Leavenworth / Pine Village  KOA Holiday,308 Zelt Strasse,Leavenworth,Washington,98826,47.783145,-120.843168
Ellensburg KOA Journey,32 S. Thorp Hwy.,Ellensburg,Washington,98926,47.014195,-120.458691
Burlington / Anacortes KOA Holiday,6397 North Green Road,Burlington,Washington,98233,48.500911,-122.345655
Concrete / Grandy Creek KOA Holiday,7370 Russell Road,Concrete,Washington,98237,48.556708,-121.592386
Boyer Park & Marina / Snake River KOA Holiday,1753 Granite Rd.,Colfax,Washington,99111,46.837729,-117.420749
Bay Center / Willapa Bay KOA Journey,457 Bay Center Road,Bay Center,Washington,98527,46.585525,-123.924687
Hayward KOA Holiday,11544 North US Highway 63,Hayward,Wisconsin,54843,46.023604,-91.293027
Fond du Lac East / Kettle Moraine KOA Holiday,N5456 Division Rd.,Glenbeulah,Wisconsin,53023,43.780438,-88.10667
Weatherford / Fort Worth West KOA Journey,2205 Tin Top Rd,Weatherford,Texas,76087,32.682609,-97.782556
Texarkana KOA Journey,500 St Michael Drive,Texarkana,Texas,75503,33.511784,-94.133888
South Padre Island KOA Holiday,1 Padre Blvd,South Padre Island,Texas,78597,26.235,-97.271778
Sanger / Denton North KOA Journey,13037 I-35,Sanger,Texas,76266,33.372878,-97.213247
San Antonio / Alamo KOA Holiday,602 Gembler Road,San Antonio-1013,Texas,78219,29.446661,-98.387393
Rusk KOA Holiday,745 FM 343 East,Rusk,Texas,75785,31.775416,-95.196572
Rockport KOA Holiday,3025 FM 1781,Rockport,Texas,78382,28.132627,-97.06207
Mount Pleasant KOA Journey,2322 Greenhill Rd,Mt Pleasant,Texas,75455,33.21622,-94.979111
Lufkin KOA Journey,250 FM 2021,Lufkin,Texas,75901,31.301675,-94.641408
Lubbock KOA Journey,5502 County Road 6300,Lubbock,Texas,79416,33.600031,-101.982853
Port Lavaca / Matagorda Bay KOA Holiday,1348 Co Rd 302,Port Lavaca,Texas,77979,28.609718,-96.609368
Leander / NW Austin  KOA Holiday,2689 Hero Way,Leander,Texas,78641,30.562168,-97.907817
Lake Conroe / Houston North KOA Holiday,19785 Highway 105 West,Montgomery,Texas,77356,30.465662,-95.729888
Kerrville KOA Journey,2400 Goat Creek Road,Kerrville,Texas,78028,30.036565,-99.163069
Cotulla / Nueces River KOA Journey,153 RV Park Rd,Cotulla,Texas,78014,28.371399,-99.135335
Galveston Island KOA Holiday,23700 San Luis Pass Road,Galveston,Texas,77554,29.253166,-94.924652
Corpus Christi KOA Journey,101 Caribbean Dr.,Corpus Christi,Texas,78418,27.627121,-97.269242
Canton KOA Holiday,13785 State Hwy 19,Canton,Texas,75103,32.516876,-95.883622
Dallas / Arlington KOA Holiday,2715 S. Cooper,Arlington,Texas,76015,32.692186,-97.133304
Burkburnett / Wichita Falls KOA Journey,1202 East 3rd Street,Burkburnett,Texas,76354,34.103277,-98.622462
Brookeland / Lake Sam Rayburn KOA Holiday,505 CR 212,Brookeland,Texas,75931,31.113664,-94.021385
Austin East KOA Holiday,6029 Blue Bluff Road,Austin,Texas,78724,30.292599,-97.618171
Amarillo KOA Journey,1100 Folsom Road,Amarillo,Texas,79108,35.307898,-101.690933
Door County KOA Holiday,9245 Lovers Lane,Brussels,Wisconsin,54204,44.755492,-87.605295
San Angelo KOA Holiday,6699 Knickerbocker Road,San Angelo,Texas,76904,31.271515,-100.400625
Brattleboro North KOA Journey,1238 US Route 5,East Dummerston-9764,Vermont,05346,43.037688,-72.536522
Quechee / Pine Valley KOA Holiday,3700 Woodstock Road,White River Junction,Vermont,05001,43.672188,-72.380193
Abilene KOA Journey,4851 West Stamford Street,Abilene,Texas,79603,32.333551,-99.927724
Lake Bomoseen KOA Holiday,18 Campground Drive,Bomoseen,Vermont,05732,43.643813,-73.210774
Wellington KOA Holiday,100 South KOA Drive,Wellington,Kansas,67152,37.260561,-97.427652
WaKeeney KOA Journey,25027 S Interstate,Wakeeney,Kansas,67672,39.008413,-99.912006
Scottsburg / Raintree Lake KOA Holiday,4577 W State Road 56,Scottsburg,Indiana,47170,38.685201,-85.844056
Twin Falls / Jerome KOA Holiday,441 S Liberty Lane,Jerome,Idaho,83338,42.725104,-114.431903
Richmond KOA Holiday,3101 Cart Rd,Richmond,Indiana,47374,39.832079,-84.889699
Memphis KOA Journey,7037 I-55,Marion,Arkansas,72364,35.217536,-90.189224
