address,city,lat,lng,name,state,zip
3138 Penetanguishene Road,SPRINGWATER 1Z7 Canada,,,Barrie KOA Holiday,Ontario,L9X 1
609 Pittston Road,RR # 1,,,Cardinal / Ottawa South KOA Holiday,Ontario,RR # 
1477 County Road 2,PO Box 29,,,1000 Islands / Mallorytown KOA Holiday,Ontario,PO Bo
2039 Cordukes Road,Kingston 4V4 Canada,,,1000 Islands / Kingston KOA Holiday,Ontario,K7L 4
86 Foothill Boulevard,Rock Springs,,,Rock Springs / Green River KOA Journey,Ontario,82901
205 E. Highway 71,Rawlins,,,Rawlins KOA Journey,Ontario,82301
514 1000 Island Parkway,Lansdowne 1L0 Canada,,,1000 Islands / Ivy Lea KOA Holiday,Ontario,K0E 1
399 North 2nd Street,Greybull,,,Greybull KOA Holiday,Ontario,82426
168 Cold Springs Road (Highway 91),Douglas,,,Douglas KOA Journey,Ontario,82633
225 Welty Street,Dubois,,,Dubois / Wind River KOA Holiday,Ontario,82513
5561 Greybull Highway,Cody,,,Cody KOA Holiday,Ontario,82414
1545 State Highway 413,Lyman,,,Lyman KOA Journey,Ontario,82937
60 Highway 110,PO BOX  100,,,Devils Tower / Black Hills KOA Journey,Ontario,PO BO
1101 Prairie Lane,Bar Nunn,,,Casper KOA Journey,Ontario,82601
3181 Richardson Hwy,Valdez,,,Valdez KOA Journey,Ontario,99686
588 Jones drive south,St Francois Xavier / winnipeg 1A1 Canada,,,Winnipeg West KOA Journey,Ontario,St Fr
87 US Highway 16 East,Buffalo,,,Buffalo KOA Journey,Ontario,82834
3425 Sterling Highway(Mile 169),PO Box 3695,,,Homer / Baycrest KOA Holiday,Ontario,PO Bo
16105 US 50 West,Salida,,,Salida / Mt. Shavano KOA Journey,Ontario,81201
31702 Herman Leirer Road,Seward,,,Seward KOA Journey,Ontario,99664
1316 Badger Road,North Pole,,,Fairbanks / Chena River KOA,Ontario,99705
3603 Lincoln Avenue,Steamboat Springs,,,Steamboat Springs KOA Holiday,Ontario,80487
"9040 Interstate 25 South @ Exit 74,",Pueblo,,,Pueblo South / Colorado City KOA Holiday,Ontario,81004
559 County Road 3A,Canon City,,,Royal Gorge / Canon City KOA Holiday,Ontario,81215
"4131 Interstate 25 North, Exit 108",Pueblo,,,Pueblo KOA Journey,Ontario,81008
225 CR 23,Ridgway,,,Ouray KOA Holiday,Ontario,81432
200 N Cedar Avenue,Montrose,,,Montrose / Black Canyon Nat'l Park KOA Journey,Ontario,81401
143 Co Rd 48,Grand Lake,,,Grand Lake / Rocky Mountain National Park KOA Journey,Ontario,80447
2819 Highway 50,Grand Junction,,,Grand Junction KOA Holiday,Ontario,81503
629 River Frontage Road,Silt,,,Glenwood Springs West / Colorado River KOA Holiday,Ontario,81652
4821 E CR RD 70,Wellington,,,Fort Collins North / Wellington KOA Journey,Ontario,80549
26680 Highway 50,La Junta,,,La Junta KOA Journey,Ontario,81050
1910 Lakeside Resort Lane,Fort Collins,,,Fort Collins / Lakeside KOA Holiday,Ontario,80524
575 Colorado Avenue,Limon-2215,,,Limon KOA Journey,Ontario,80828
105 County Road 50,Gunnison,,,Gunnison KOA Journey,Ontario,81230
2051 Big Thompson Ave.,Estes Park,,,Estes Park KOA Holiday,Ontario,80517
14010 Judge Orr Road,Peyton,,,Falcon / Colorado Springs NE KOA Holiday,Ontario,80831
1312 Monroe Street,Strasburg,,,Denver East / Strasburg KOA Holiday,Ontario,80136
605 Lake Gulch Rd Co Rd 6,Central City-0771,,,Denver West / Central City KOA Holiday,Ontario,80427
2800 E  Hwy 40,Craig,,,Craig KOA Journey,Ontario,81625
6900 Juniper Lane,Alamosa,,,Alamosa / Great Sand Dunes KOA Journey,Ontario,81101
7202 Highway 133,Carbondale,,,Carbondale / Crystal River KOA Holiday,Ontario,81623
8100 Bandley Drive,Fountain,,,Colorado Springs KOA Holiday,Ontario,80817
2205 Tin Top Rd,Weatherford,,,Weatherford / Fort Worth West KOA Journey,Ontario,76087
500 St Michael Drive,Texarkana,,,Texarkana KOA Journey,Ontario,75503
2576 County Road 81,PO Box 1689,,,Cripple Creek KOA Holiday,Ontario,PO Bo
13037 I-35,Sanger,,,Sanger / Denton North KOA Journey,Ontario,76266
1 Padre Blvd,South Padre Island,,,South Padre Island KOA Holiday,Ontario,78597
602 Gembler Road,San Antonio-1013,,,San Antonio / Alamo KOA Holiday,Ontario,78219
6699 Knickerbocker Road,San Angelo,,,San Angelo KOA Holiday,Ontario,76904
3025 FM 1781,Rockport,,,Rockport KOA Holiday,Ontario,78382
745 FM 343 East,Rusk,,,Rusk KOA Holiday,Ontario,75785
250 FM 2021,Lufkin,,,Lufkin KOA Journey,Ontario,75901
5502 County Road 6300,Lubbock,,,Lubbock KOA Journey,Ontario,79416
2689 Hero Way,Leander,,,Leander / NW Austin  KOA Holiday,Ontario,78641
1348 Co Rd 302,Port Lavaca,,,Port Lavaca / Matagorda Bay KOA Holiday,Ontario,77979
19785 Highway 105 West,Montgomery,,,Lake Conroe / Houston North KOA Holiday,Ontario,77356
2400 Goat Creek Road,Kerrville,,,Kerrville KOA Journey,Ontario,78028
2322 Greenhill Rd,Mt Pleasant,,,Mount Pleasant KOA Journey,Ontario,75455
2715 S. Cooper,Arlington,,,Dallas / Arlington KOA Holiday,Ontario,76015
13785 State Hwy 19,Canton,,,Canton KOA Holiday,Ontario,75103
23700 San Luis Pass Road,Galveston,,,Galveston Island KOA Holiday,Ontario,77554
1202 East 3rd Street,Burkburnett,,,Burkburnett / Wichita Falls KOA Journey,Ontario,76354
505 CR 212,Brookeland,,,Brookeland / Lake Sam Rayburn KOA Holiday,Ontario,75931
101 Caribbean Dr.,Corpus Christi,,,Corpus Christi KOA Journey,Ontario,78418
1100 Folsom Road,Amarillo,,,Amarillo KOA Journey,Ontario,79108
6029 Blue Bluff Road,Austin,,,Austin East KOA Holiday,Ontario,78724
4851 West Stamford Street,Abilene,,,Abilene KOA Journey,Ontario,79603
3025 N Barker Rd,Spokane Valley,,,Spokane KOA Journey,Ontario,99027
102 Lyons Ferry Road,Starbuck,,,Starbuck / Lyons Ferry Marina KOA Holiday,Ontario,99359
153 RV Park Rd,Cotulla,,,Cotulla / Nueces River KOA Journey,Ontario,78014
